之,tśi,の
舟,tśyu,boat
原,nywan,"meadow, source"
龍,lywung,dragon
各,kak,each
經,"keng, h","experience, classics"
走,"tsowx, h",run
游,jyu,swim
鳥,tewx,bird
擊,kek,strike
男,nom,male; baron
干,kan,"concern, ask"
坐,dzwax,sit
金,kryim,gold
災,tsoy,disaster
全,dzywen,complete
江,krong,Yangtze; river
口,khowx,mouth
音,ryim,sound
后,"heux, h","queen, (king)"
恥,ťhix,"humiliate, shame"
客,khrak,guest
狐,hwu,fox
面,myenh,face
弓,kyung,bow
工,kung,work
鳴,mryang,"(animals) cry, call, chirp"
豹,prawh,"leopard, panther"
鬼,kuix,"ghost, demon"
否,pyux,"no, not"
毋,mywu,don’t
吏,lih,gov. official
光,kwang,light
回,hwoy,turn
負,byux,"carry, burden"
羽,hywuh/x,feather
介,kreih,"be between, assist"
笑,syewh,laugh
尸,śyi,corpse
卯,mraux,rabbit (earthly branch)
市,dźix,"city, market"
凶,hywung,bad omen
肉,ńyuk,meat
酉,jyux,"alcohol vessel, 12th earthly branch"
川,tśhywen,river
肖,syewh,"resemble, imitate"
手,x,hand
才,dzoy,"ability, talent"
侍,dźih,"serve, attendant"
玄,hwen,"deep, black"
持,ďi,hold
寒,han,cold
鍾,tśywung,alcohol vessel; concentrate
夕,zyek,evening; night
京,kriang,capital
狗,kowx,dog
赤,tśhyek,red
並,bengx,"side by side, simultaneously"
都,twu,"metropolis, capital"
崩,pong,collapse
休,xyu,rest
姦,kran,evil
呼,xuo,exhale; shout; call
鬥,towh,fight
放,pywangh,release
句,kyoh,sentence
甘,kam,sweet
丈,ďyangx,"zhang (measure), gentleman"
毛,maw; h,hair; fur
漢,xanh,"Han, milky way"
早,tsawx,early
龜,krywi,turtle
井,tsyengx,a well
閉,"peyh, pet",close
論,lwon (h),discuss
農,nwong,cultivate
